"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","IMA Mineral Symbol"
"Abellaite","Abellaite","NaPb2(CO3)2(OH)","Abe"
"Abelsonite","Abelsonite","NiC31H32N4","Abl"
"Abenakiite-(Ce)","Abenakiite-(Ce)","Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O","Abk-Ce"
"Abernathyite","Abernathyite","K(UO2)(AsO4)·3H2O","Abn"
"Abhurite","Abhurite","Sn2+21O6(OH)14Cl16","Abh"
"Abramovite","Abramovite","Pb2SnInBiS7","Abm"
"Abswurmbachite","Abswurmbachite","Cu2+Mn3+6O8(SiO4)","Abs"
"Abuite","Abuite","CaAl2(PO4)2F2","Abu"
"Acanthite","Acanthite","Ag2S","Aca"
"Acetamide","Acetamide","CH3CONH2","Ace"
"Achalaite","Achalaite","Fe2+TiNb2O8","Ahl"
"Achávalite","Achavalite","FeSe","Ahv"
"Achyrophanite","Achyrophanite","(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5","Aph"
"Acmonidesite","Acmonidesite","(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8","Acm"
"Actinolite","Actinolite","[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2","Act"
"Acuminite","Acuminite","SrAlF4(OH)·H2O","Acu"
"Adachiite","Adachiite","CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH)","Adc"
"Adamite","Adamite","Zn2(AsO4)(OH)","Ad"
"Adamsite-(Y)","Adamsite-(Y)","NaY(CO3)2·6H2O","Ads-Y"
"Adanite","Adanite","Pb2(Te4+O3)(SO4)","Adn"
"Addibischoffite","Addibischoffite","Ca2Al6Al6O20","Add"
"Adelite","Adelite","CaMg(AsO4)(OH)","Ade"
"Admontite","Admontite","MgB6O10·7H2O","Amt"
"Adolfpateraite","Adolfpateraite","K(UO2)(SO4)(OH)(H2O)","Adp"
"Adranosite","Adranosite","(NH4)4NaAl2(SO4)4Cl(OH)2","Arn"
"Adranosite-(Fe)","Adranosite-(Fe)","(NH4)4NaFe2(SO4)4Cl(OH)2","Arn-Fe"
"Adrianite","Adrianite","Ca12(Al4Mg3Si7)O32Cl6","Adt"
"Aegirine","Aegirine","NaFe3+Si2O6","Aeg"
"Aegirine-augite","Aegirine-augite","(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","Aeg-Aug"
"Aenigmatite","Aenigmatite","Na4[Fe2+10Ti2]O4[Si12O36]","Aen"
"Aerinite","Aerinite","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","Aer"
"Aerugite","Aerugite","Ni8.5(AsO4)2As5+O8","Aru"
"Aeschynite-(Ce)","Aeschynite-(Ce)","(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6","Aes-Ce"
"Aeschynite-(Nd)","Aeschynite-(Nd)","(Nd,Ln,Ca)(Ti,Nb)2(O,OH)6","Aes-Nd"
"Aeschynite-(Y)","Aeschynite-(Y)","(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6","Aes-Y"
"Afghanite","Afghanite","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","Afg"
"Afmite","Afmite","Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O","Afm"
"Afwillite","Afwillite","Ca3[SiO4][SiO2(OH)2]·2H2O","Afw"
"Agaite","Agaite","Pb3Cu2+Te6+O5(OH)2(CO3)","Aga"
"Agakhanovite-(Y)","Agakhanovite-(Y)","YCa[box]2KBe3Si12O30","Agk-Y"
"Agardite-(Ce)","Agardite-(Ce)","CeCu2+6(AsO4)3(OH)6·3H2O","Agr-Ce"
"Agardite-(La)","Agardite-(La)","LaCu2+6(AsO4)3(OH)6·3H2O","Agr-La"
"Agardite-(Nd)","Agardite-(Nd)","NdCu2+6(AsO4)3(OH)6·3H2O","Agr-Nd"
"Agardite-(Y)","Agardite-(Y)","YCu2+6(AsO4)3(OH)6·3H2O","Agr-Y"
"Agmantinite","Agmantinite","Ag2MnSnS4","Agm"
"Agrellite","Agrellite","NaCa2Si4O10F","Are"
"Agricolaite","Agricolaite","K4(UO2)(CO3)3","Agc"
"Agrinierite","Agrinierite","K2Ca[(UO2)3O3(OH)2]2·5H2O","Agn"
"Aguilarite","Aguilarite","Ag4SeS","Agu"
"Aheylite","Aheylite","Fe2+Al6(PO4)4(OH)8·4H2O","Ahe"
"Ahlfeldite","Ahlfeldite","Ni(SeO3)·2H2O","Afe"
"Ahrensite","Ahrensite","SiFe2O4","Ahr"
"Aikinite","Aikinite","CuPbBiS3","Aik"
"Aiolosite","Aiolosite","Na2(Na2Bi)(SO4)3Cl","Aio"
"Airdite","Airdite","Sr(V4+O)2(PO4)2·4H2O","Air"
"Ajoite","Ajoite","K3Cu2+20Al3Si29O76(OH)16·8H2O","Aj"
"Akaganeite","Akaganeite","(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O","Akg"
"Akaogiite","Akaogiite","TiO2","Aka"
"Akatoreite","Akatoreite","Mn2+9Al2Si8O24(OH)8","Akt"
"Akdalaite","Akdalaite","Al10O14(OH)2","Akd"
"Åkermanite","Akermanite","Ca2MgSi2O7","Åk"
"Akhtenskite","Akhtenskite","MnO2","Akh"
"Akimotoite","Akimotoite","MgSiO3","Aki"
"Aklimaite","Aklimaite","Ca4[Si2O5(OH)2](OH)4·5H2O","Akm"
"Akopovaite","Akopovaite","Al4Li2(OH)12(CO3)(H2O)3","Av"
"Akrochordite","Akrochordite","Mn2+5(AsO4)2(OH)4·4H2O","Akr"
"Aksaite","Aksaite","MgB6O7(OH)6·2H2O","Aks"
"Aktashite","Aktashite","Cu6Hg3As4S12","Ats"
"Alabandite","Alabandite","MnS","Abd"
"Alacránite","Alacranite","As8S9","Acr"
"Alamosite","Alamosite","PbSiO3","Aam"
"Alarsite","Alarsite","Al(AsO4)","Ars"
"Albertiniite","Albertiniite","Fe2+(SO3)·3H2O","Abt"
"Albite","Albite","Na(AlSi3O8)","Ab"
"Albrechtschraufite","Albrechtschraufite","MgCa4F2[UO2(CO3)3]2·17-18H2O","Asf"
"Alburnite","Alburnite","Ag8GeTe2S4","Alb"
"Alcantarillaite","Alcantarillaite","[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(AsO4)2O7]","Alc"
"Alcaparrosaite","Alcaparrosaite","K3Ti4+Fe3+(SO4)4O(H2O)2","Apr"
"Aldermanite","Aldermanite","[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]·H2O","Adm"
"Aldomarinoite","Aldomarinoite","Sr2Mn3+(AsO4)2(OH)","Aldm"
"Aldridgeite","Aldridgeite","(Cd,Ca)(Cu,Zn)4(SO4)2(OH)6·3H2O","Adg"
"Aleksandrovite","Aleksandrovite","KCa7Sn2Li3Si12O36F2","Asd"
"Aleksite","Aleksite","PbBi2Te2S2","Alk"
"Aleutite","Aleutite","[Cu5O2](AsO4)(VO4)·(Cu0.5[box]0.5)Cl","Aeu"
"Alexkhomyakovite","Alexkhomyakovite","K6(Ca2Na)(CO3)5Cl·6H2O","Akmy"
