# Composition of the Continental Crust
# Rudnick and Gao, 2014
# This is a revision of the previous edition article from 2003
#
Element,Unit,Upper continental crust,Middle continental crust,Lower continental crust,Bulk continental crust
SiO2,wt.%,66.6,63.5,53.4,60.6
TiO2,wt.%,0.64,0.69,0.82,0.72
Al2O3,wt.%,15.4,15,16.9,15.9
FeO*,wt.%,5.04,6.02,8.57,6.71
MnO,wt.%,0.1,0.1,0.1,0.1
MgO,wt.%,2.48,3.59,7.24,4.66
CaO,wt.%,3.59,5.25,9.59,6.41
Na2O,wt.%,3.27,3.39,2.65,3.07
K2O,wt.%,2.8,2.3,0.61,1.81
P2O5,wt.%,0.15,0.15,0.1,0.13
Li,ug/g,24,12,13,16
Be,ug/g,2.1,2.3,1.4,1.9
B,ug/g,17,17,2,11
N,ug/g,83,,34,56
F,ug/g,557,524,570,553
S,ug/g,621,249,345,404
Cl,ug/g,370,182,250,244
Sc,ug/g,14,19,31,21.9
V,ug/g,97,107,196,138
Cr,ug/g,92,76,215,135
Co,ug/g,17.3,22,38,26.6
Ni,ug/g,47,33.5,88,59
Cu,ug/g,28,26,26,27
Zn,ug/g,67,69.5,78,72
Ga,ug/g,17.5,17.5,13,16
Ge,ug/g,1.4,1.1,1.3,1.3
As,ug/g,4.8,3.1,0.2,2.5
Se,ug/g,0.09,0.064,0.2,0.13
Br,ug/g,1.6,,0.3,0.88
Rb,ug/g,84,65,11,49
Sr,ug/g,320,282,348,320
Y,ug/g,21,20,16,19
Zr,ug/g,193,149,68,132
Nb,ug/g,12,10,5,8
Mo,ug/g,1.1,0.6,0.6,0.8
Ru,ng/g,0.34,,0.75,0.57
Pd,ng/g,0.52,0.76,2.8,1.5
Ag,ng/g,53,48,65,56
Cd,ug/g,0.09,0.061,0.1,0.08
In,ug/g,0.056,,0.05,0.052
Sn,ug/g,2.1,1.3,1.7,1.7
Sb,ug/g,0.4,0.28,0.1,0.2
I,ug/g,1.4,,0.14,0.71
Cs,ug/g,4.9,2.2,0.3,2
Ba,ug/g,628,532,259,456
La,ug/g,31,24,8,20
Ce,ug/g,63,53,20,43
Pr,ug/g,7.1,5.8,2.4,4.9
Nd,ug/g,27,25,11,20
Sm,ug/g,4.7,4.6,2.8,3.9
Eu,ug/g,1,1.4,1.1,1.1
Gd,ug/g,4,4,3.1,3.7
Tb,ug/g,0.7,0.7,0.48,0.6
Dy,ug/g,3.9,3.8,3.1,3.6
Ho,ug/g,0.83,0.82,0.68,0.77
Er,ug/g,2.3,2.3,1.9,2.1
Tm,ug/g,0.3,0.32,0.24,0.28
Yb,ug/g,1.96,2.2,1.5,1.9
Lu,ug/g,0.31,0.4,0.25,0.3
Hf,ug/g,5.3,4.4,1.9,3.7
Ta,ug/g,0.9,0.6,0.6,0.7
W,ug/g,1.9,0.6,0.6,1
Re,ng/g,0.198,,0.18,0.188
Os,ng/g,0.031,,0.05,0.041
Ir,ng/g,0.022,,0.05,0.037
Pt,ng/g,0.5,0.85,2.7,1.5
Au,ng/g,1.5,0.66,1.6,1.3
Hg,ug/g,0.05,0.0079,0.014,0.03
Tl,ug/g,0.9,0.27,0.32,0.5
Pb,ug/g,17,15.2,4,11
Bi,ug/g,0.16,0.17,0.2,0.18
Th,ug/g,10.5,6.5,1.2,5.6
U,ug/g,2.7,1.3,0.2,1.3
Nb/Ta,,13.4,16.5,8.3,12.4
Zr/Hf,,36.7,33.9,35.8,35.5
Th/U,,3.8,4.9,6,4.3
K/U,,9475,15607,27245,12367
La/Yb,,15.4,10.7,5.3,10.6
Rb/Cs,,20,30,37,24
K/Rb,,283,296,462,304
La/Ta,,36,42,13,29
"Mg#",,46.7,51.5,60.1,55.3
Eu/Eu*,,0.72,0.96,1.14,0.93
Heat production,,1.65,1,0.19,0.89
