################################################################################
# Composition of the depleted mantle
# Salters & Strack, 2004
# Tab.5, p 19 of 27
# doi: 10.1029/2003GC000597
################################################################################
"Element","Model","Unit","Constraint","Uncertainty in %"
"H2O","116","ppm","H2O/Ce",50
"He","157","ppt","C/He",46
"Li","0.70","ppm","Yb/Li",8
"Be","25","ppb","Be/Ta",100
"B","0.060","ppm","B/K",91
"CO2","50.3","ppm","CO2/Nb",24
"N2","40","ppb","C/N",30
"F","11.0","ppm","F/P",41
"Ne","30.7","ppq","He/Ne",40
"Na2O","0.29","wt%","MMM",10
"MgO","38.22","wt%","MMM",1
"Al2O3","4.28","wt%","MMM",2
"SiO2","44.9","wt%","MMM",1
"P","40.7","ppm","Ce/P",25
"S","119","ppm","S/Dy",25
"Cl","0.51","ppm","Cl/K",18
"Ar","1.21","ppb","He/Ar",38
"K","60","ppm","K/U",28
"CaO","3.5","wt%","MMM",1
"Sc","16.3","ppm","Sc-CaO",13
"Ti","798","ppm","Ti/Gd",12
"V","79","ppm","CaO-V",7
"Cr","2500","ppm","CaO-Cr",40
"Mn","1045","ppm","Fe/Mn",17
"FeO","8.07","wt%","MMM",2
"Co","106","ppm","Co-CaO",14
"Ni","1960","ppm","MgO/Ni",10
"Cu","30","ppm","Cu/Sc",NA
"Zn","56","ppm","Zn/Sc",NA
"Ga","3.2","ppm","CaO",16
"Ge","1.0","ppm","Ge/Si",200
"As","7.4","ppb","As/Ce",28
"Se","72","ppb","Se/V",NA
"Kr","2","ppq","He/Kr",40
"Rb","0.088","ppm","Rb/Sr",25
"Sr","9.80","ppm","Sr/Nd",19
"Y","4.07","ppm","Y/Yb",12
"Zr","7.94","ppm","Zr/Hf",22
"Nb","210","ppb","U/Nb",35
"Mo","25","ppb","Mo/Ce",28
"Ru","5.7","ppb","Ir/Ru",16
"Rh","1.0","ppb","Ir/Rh",15
"Pd","5.2","ppb","Ir/Pd",24
"Ag","6","ppb","Ag-CaO",50
"Cd","0.014","ppm","Cd/Dy",30
"In","12.2","ppb","In/Y",25
"Sn","0.10","ppm","Sn/Sm",22
"Sb","2.6","ppb","Sb/Pr",42
"Te","15.1","ppb","Te/Ni",80
"Xe","0.79","ppq","He/Xe",40
"Cs","1.32","ppb","Cs/Rb",42
"Ba","1.20","ppm","Rb/Ba",49
"La","0.234","ppm","La/Ce",14
"Ce","0.772","ppm","Ce/Nd",15
"Pr","0.131","ppm","Nd/Pr",10
"Nd","0.713","ppm","Sm/Nd",7
"Sm","0.270","ppm","Sm/Hf",10
"Eu","0.107","ppm","Eu/Lu-Sm",10
"Gd","0.395","ppm","Gd/Lu-Sm",10
"Tb","0.075","ppm","Tb/Lu-Sm",10
"Dy","0.531","ppm","Dy/Lu-Sm",10
"Ho","0.122","ppm","Ho/Lu-Sm",10
"Er","0.371","ppm","Er/Lu-Sm",10
"Tm","0.060","ppm","Tm/Lu-Sm",10
"Yb","0.401","ppm","Yb/Lu-Sm",7
"Lu","0.063","ppm","Lu-CaO",9
"Hf","0.199","ppm","Lu/Hf",8
"Ta","13.8","ppb","Nb/Ta",33
"W","3.5","ppb","W/Ba",52
"Re","0.157","ppb","Re/Os",25
"Os","2.99","ppb","Os/Ir",15
"Ir","2.9","ppb","Per",20
"Pt","6.2","ppb","Ir/Pt",27
"Au","1.0","ppb","Ir/Au",48
"Hg","10","ppb","Hg/Mn",NA
"Tl","0.38","ppb","Rb/Tl",NA
"Pb","23.2","ppb","Th/Pb",30
"Bi","0.39","ppb","Bi/Pb",NA
"Th","13.7","ppb","Ba/Th",30
"U","4.7","ppb","Th/U",30
