###############################################################################
# Density of water in the temperature range from 0 degrees Celsius to
# 100 degrees Celsius at a pressure of 101325 Pa (one standard atmosphere)
# 
# Temperature:  degrees Celsius
# Density:      gram per cubic centimeter
#
# Reference:
# Haynes, W. M. (Hrsg.). (2017). CRC handbook of chemistry and physics: 
# A ready-reference book of chemical and physical data (97th edition).
# CRC Press.
###############################################################################
"temp__C","density__g_cm-3"
0.1,0.9998495
0.2,0.9998560
0.3,0.9998624
0.4,0.9998685
0.5,0.9998745
0.6,0.9998803
0.7,0.9998859
0.8,0.9998913
0.9,0.9998966
1.0,0.9999017
1.1,0.9999066
1.2,0.9999113
1.3,0.9999158
1.4,0.9999202
1.5,0.9999244
1.6,0.9999285
1.7,0.9999323
1.8,0.9999360
1.9,0.9999396
2.0,0.9999429
2.1,0.9999461
2.2,0.9999491
2.3,0.9999519
2.4,0.9999546
2.5,0.9999571
2.6,0.9999595
2.7,0.9999616
2.8,0.9999636
2.9,0.9999655
3.0,0.9999672
3.1,0.9999687
3.2,0.9999700
3.3,0.9999712
3.4,0.9999722
3.5,0.9999731
3.6,0.9999738
3.7,0.9999743
3.8,0.9999747
3.9,0.9999749
4.0,0.9999749
4.1,0.9999748
4.2,0.9999746
4.3,0.9999742
4.4,0.9999736
4.5,0.9999728
4.6,0.9999719
4.7,0.9999709
4.8,0.9999697
4.9,0.9999683
5.0,0.9999668
5.1,0.9999651
5.2,0.9999633
5.3,0.9999613
5.4,0.9999592
5.5,0.9999569
5.6,0.9999544
5.7,0.9999518
5.8,0.9999491
5.9,0.9999462
6.0,0.9999431
6.1,0.9999400
6.2,0.9999366
6.3,0.9999331
6.4,0.9999295
6.5,0.9999257
6.6,0.9999217
6.7,0.9999176
6.8,0.9999134
6.9,0.9999090
7.0,0.9999045
7.1,0.9998998
7.2,0.9998950
7.3,0.9998900
7.4,0.9998849
7.5,0.9998797
7.6,0.9998743
7.7,0.9998687
7.8,0.9998631
7.9,0.9998572
8.0,0.9998513
8.1,0.9998452
8.2,0.9998389
8.3,0.9998325
8.4,0.9998260
8.5,0.9998193
8.6,0.9998125
8.7,0.9998056
8.8,0.9997985
8.9,0.9997912
9.0,0.9997839
9.1,0.9997764
9.2,0.9997687
9.3,0.9997610
9.4,0.9997530
9.5,0.9997450
9.6,0.9997368
9.7,0.9997285
9.8,0.9997200
9.9,0.9997114
10.0,0.9997027
10.1,0.9996938
10.2,0.9996848
10.3,0.9996757
10.4,0.9996665
10.5,0.9996571
10.6,0.9996475
10.7,0.9996379
10.8,0.9996281
10.9,0.9996182
11.0,0.9996081
11.1,0.9995979
11.2,0.9995876
11.3,0.9995772
11.4,0.9995666
11.5,0.9995559
11.6,0.9995451
11.7,0.9995341
11.8,0.9995230
11.9,0.9995118
12.0,0.9995005
12.1,0.9994890
12.2,0.9994774
12.3,0.9994657
12.4,0.9994539
12.5,0.9994419
12.6,0.9994298
12.7,0.9994176
12.8,0.9994052
12.9,0.9993927
13.0,0.9993801
13.1,0.9993674
13.2,0.9993546
13.3,0.9993416
13.4,0.9993285
13.5,0.9993153
13.6,0.9993020
13.7,0.9992885
13.8,0.9992749
13.9,0.9992612
14.0,0.9992474
14.1,0.9992335
14.2,0.9992194
14.3,0.9992052
14.4,0.9991909
14.5,0.9991765
14.6,0.9991619
14.7,0.9991473
14.8,0.9991325
14.9,0.9991176
15.0,0.9991026
15.1,0.9990874
15.2,0.9990722
15.3,0.9990568
15.4,0.9990413
15.5,0.9990257
15.6,0.9990100
15.7,0.9989942
15.8,0.9989782
15.9,0.9989621
16.0,0.9989459
16.1,0.9989296
16.2,0.9989132
16.3,0.9988967
16.4,0.9988800
16.5,0.9988633
16.6,0.9988464
16.7,0.9988294
16.8,0.9988123
16.9,0.9987951
17.0,0.9987778
17.1,0.9987603
17.2,0.9987428
17.3,0.9987251
17.4,0.9987073
17.5,0.9986895
17.6,0.9986715
17.7,0.9986534
17.8,0.9986351
17.9,0.9986168
18.0,0.9985984
18.1,0.9985798
18.2,0.9985611
18.3,0.9985424
18.4,0.9985235
18.5,0.9985045
18.6,0.9984854
18.7,0.9984662
18.8,0.9984469
18.9,0.9984275
19.0,0.9984079
19.1,0.9983883
19.2,0.9983686
19.3,0.9983487
19.4,0.9983287
19.5,0.9983087
19.6,0.9982885
19.7,0.9982682
19.8,0.9982478
19.9,0.9982273
20.0,0.9982067
20.1,0.9981860
20.2,0.9981652
20.3,0.9981443
20.4,0.9981233
20.5,0.9981022
20.6,0.9980810
20.7,0.9980596
20.8,0.9980382
20.9,0.9980167
21.0,0.9979950
21.1,0.9979733
21.2,0.9979514
21.3,0.9979295
21.4,0.9979074
21.5,0.9978853
21.6,0.9978630
21.7,0.9978407
21.8,0.9978182
21.9,0.9977956
22.0,0.9977730
22.1,0.9977502
22.2,0.9977273
22.3,0.9977044
22.4,0.9976813
22.5,0.9976582
22.6,0.9976349
22.7,0.9976115
22.8,0.9975881
22.9,0.9975645
23.0,0.9975408
23.1,0.9975171
23.2,0.9974932
23.3,0.9974692
23.4,0.9974452
23.5,0.9974210
23.6,0.9973968
23.7,0.9973724
23.8,0.9973480
23.9,0.9973234
24.0,0.9972988
24.1,0.9972740
24.2,0.9972492
24.3,0.9972243
24.4,0.9971992
24.5,0.9971741
24.6,0.9971489
24.7,0.9971236
24.8,0.9970981
24.9,0.9970726
25.0,0.9970470
25.1,0.9970213
25.2,0.9969955
25.3,0.9969696
25.4,0.9969436
25.5,0.9969176
25.6,0.9968914
25.7,0.9968651
25.8,0.9968387
25.9,0.9968123
26.0,0.9967857
26.1,0.9967591
26.2,0.9967324
26.3,0.9967055
26.4,0.9966786
26.5,0.9966516
26.6,0.9966245
26.7,0.9965973
26.8,0.9965700
26.9,0.9965426
27.0,0.9965151
27.1,0.9964875
27.2,0.9964599
27.3,0.9964321
27.4,0.9964043
27.5,0.9963763
27.6,0.9963483
27.7,0.9963202
27.8,0.9962920
27.9,0.9962637
28.0,0.9962353
28.1,0.9962068
28.2,0.9961783
28.3,0.9961496
28.4,0.9961208
28.5,0.9960920
28.6,0.9960631
28.7,0.9960341
28.8,0.9960050
28.9,0.9959758
29.0,0.9959465
29.1,0.9959171
29.2,0.9958876
29.3,0.9958581
29.4,0.9958285
29.5,0.9957987
29.6,0.9957689
29.7,0.9957390
29.8,0.9957090
29.9,0.9956790
30.0,0.9956488
30.1,0.9956185
30.2,0.9955882
30.3,0.9955578
30.4,0.9955273
30.5,0.9954967
30.6,0.9954660
30.7,0.9954352
30.8,0.9954044
30.9,0.9953734
31.0,0.9953424
31.1,0.9953113
31.2,0.9952801
31.3,0.9952488
31.4,0.9952175
31.5,0.9951860
31.6,0.9951545
31.7,0.9951228
31.8,0.9950911
31.9,0.9950593
32.0,0.9950275
32.1,0.9949955
32.2,0.9949635
32.3,0.9949313
32.4,0.9948991
32.5,0.9948668
32.6,0.9948344
32.7,0.9948020
32.8,0.9947694
32.9,0.9947368
33.0,0.9947041
33.1,0.9946713
33.2,0.9946384
33.3,0.9946055
33.4,0.9945724
33.5,0.9945393
33.6,0.9945061
33.7,0.9944728
33.8,0.9944394
33.9,0.9944060
34.0,0.9943724
34.1,0.9943388
34.2,0.9943051
34.3,0.9942713
34.4,0.9942375
34.5,0.9942035
34.6,0.9941695
34.7,0.9941354
34.8,0.9941012
34.9,0.9940669
35.0,0.9940326
35.1,0.9939982
35.2,0.9939637
35.3,0.9939291
35.4,0.9938944
35.5,0.9938597
35.6,0.9938248
35.7,0.9937899
35.8,0.9937549
35.9,0.9937199
36.0,0.9936847
36.1,0.9936495
36.2,0.9936142
36.3,0.9935788
36.4,0.9935434
36.5,0.9935078
36.6,0.9934722
36.7,0.9934365
36.8,0.9934007
36.9,0.9933649
37.0,0.9933290
37.1,0.9932929
37.2,0.9932569
37.3,0.9932207
37.4,0.9931844
37.5,0.9931481
37.6,0.9931117
37.7,0.9930753
37.8,0.9930387
37.9,0.9930021
38.0,0.9929654
38.1,0.9929286
38.2,0.9928917
38.3,0.9928548
38.4,0.9928178
38.5,0.9927807
38.6,0.9927435
38.7,0.9927063
38.8,0.9926689
38.9,0.9926316
39.0,0.9925941
39.1,0.9925565
39.2,0.9925189
39.3,0.9924812
39.4,0.9924434
39.5,0.9924056
39.6,0.9923677
39.7,0.9923297
39.8,0.9922916
39.9,0.9922534
40.0,0.9922152
41.0,0.99183
42.0,0.99144
43.0,0.99104
44.0,0.99063
45.0,0.99021
46.0,0.98979
47.0,0.98936
48.0,0.98893
49.0,0.98848
50.0,0.98804
51.0,0.98758
52.0,0.98712
53.0,0.98665
54.0,0.98617
55.0,0.98569
56.0,0.98521
57.0,0.98471
58.0,0.98421
59.0,0.98371
60.0,0.98320
61.0,0.98268
62.0,0.98216
63.0,0.98163
64.0,0.98109
65.0,0.98055
66.0,0.98000
67.0,0.97945
68.0,0.97890
69.0,0.97833
70.0,0.97776
71.0,0.97719
72.0,0.97661
73.0,0.97603
74.0,0.97544
75.0,0.97484
76.0,0.97424
77.0,0.97364
78.0,0.97303
79.0,0.97241
80.0,0.97179
81.0,0.97116
82.0,0.97053
83.0,0.96990
84.0,0.96926
85.0,0.96861
86.0,0.96796
87.0,0.96731
88.0,0.96664
89.0,0.96598
90.0,0.96531
91.0,0.96463
92.0,0.96396
93.0,0.96327
94.0,0.96258
95.0,0.96189
96.0,0.96119
97.0,0.96049
98.0,0.95978
99.0,0.95907
99.974,0.95837
