#
# Sun, S. S., and McDonough, W. F. (1989), Chemical and isotopic systematics of oceanic basalts: Implications for mantle composition and processes, Geol.Soc., London, Spec. Publ., 42(1), 313–345.
#
# p318/Tab.1
#
Element,C1 chondrite,Primitive mantle,N-type MORB,E-type MORB,OIB
Cs,0.188,0.0079,0.007,0.063,0.387
Tl,0.14,0.005,0.0014,0.013,0.077
Rb,2.32,0.635,0.56,5.04,31
Ba,2.41,6.989,6.3,57,350
W,0.095,0.02,0.01,0.092,0.56
Th,0.029,0.085,0.12,0.6,4
U,0.008,0.021,0.047,0.18,1.02
Nb,0.246,0.713,2.33,8.3,48
Ta,0.014,0.041,0.132,0.47,2.7
K,545,250,600,2100,12000
La,0.237,0.687,2.5,6.3,37
Ce,0.612,1.775,7.5,15,80
Pb,2.47,0.071,0.3,0.6,3.2
Pr,0.095,0.276,1.32,2.05,9.7
Mo,0.92,0.063,0.31,0.47,2.4
Sr,7.26,21.1,90,155,660
P,1220,95,510,620,2700
Nd,0.467,1.354,7.3,9,38.5
F,60.7,26,210,250,1150
Sm,0.153,0.444,2.63,2.6,10
Zr,3.87,11.2,74,73,280
Hf,0.1066,0.309,2.05,2.03,7.8
Eu,0.058,0.168,1.02,0.91,3
Sn,1.72,0.17,1.1,0.8,2.7
Sb,0.16,0.005,0.01,0.01,0.03
Ti,445,1300,7600,6000,17200
Gd,0.2055,0.596,3.68,2.97,7.62
Tb,0.0374,0.108,0.67,0.53,1.05
Dy,0.254,0.737,4.55,3.55,5.6
Li,1.57,1.6,4.3,3.5,5.6
Y,1.57,4.55,28,22,29
Ho,0.0566,0.164,1.01,0.79,1.06
Er,0.1655,0.48,2.97,2.31,2.62
Tm,0.0255,0.074,0.456,0.356,0.35
Yb,0.17,0.493,3.05,2.37,2.16
Lu,0.0254,0.074,0.455,0.354,0.3
